ID,Priority (Ưu tiên),Created on,Started on,Finished on,Pause(min),Reopen,Company/Dept,Chi tiết nội dung đã xử lý,File chụp màn hình kết quả xử lý
1001,P1,1/9/2025 8:00,1/9/2025 8:05,,0,0,,,
1002,P2,2/9/2025 9:00,2/9/2025 9:30,,60,0,,,
1003,P3,3/9/2025 10:00,3/9/2025 10:40,,0,0,,,
1004,P4,4/9/2025 9:00,4/9/2025 11:10,,0,0,,,
1005,P2,5/9/2025 8:00,5/9/2025 8:30,,0,0,,,
1006,P3,6/9/2025 9:00,6/9/2025 10:40,6/9/2025 18:00,120,1,HelpDesk,Có,Có
1007,P1,7/9/2025 8:00,7/9/2025 8:50,7/9/2025 20:00,180,3,HelpDesk,Có,Có
1008,P4,8/9/2025 9:00,8/9/2025 9:40,8/9/2025 18:00,0,2,HelpDesk,Có,Có
1009,P3,9/9/2025 9:00,9/9/2025 9:20,9/9/2025 11:00,0,0,HelpDesk,Có,Có
1010,P2,10/9/2025 8:00,10/9/2025 8:10,10/9/2025 16:00,60,0,HelpDesk,Có,Có
